filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
5019.jpg,image,19189,comb,0.0036249160766601562,19963,1.0403356089426234
5020.jpg,image,20939,comb,0.004022836685180664,21706,1.0366302115669326
5021.jpg,image,44564,comb,0.008628606796264648,45351,1.017659994614487
5022.jpg,image,25727,comb,0.00556182861328125,26510,1.0304349516072608
5023.jpg,image,34828,comb,0.009060859680175781,35647,1.0235155621913403
5024.jpg,image,20566,comb,0.0064394474029541016,21307,1.0360303413400758
5025.jpg,image,20058,comb,0.0052642822265625,20902,1.0420779738757604
5026.jpg,image,36346,comb,0.005908489227294922,34837,0.9584823639465141
5027.jpg,image,29398,comb,0.004644870758056641,30100,1.0238791754541126
5028.jpg,image,21633,comb,0.002924203872680664,21721,1.004067859289049
5029.jpg,image,19956,comb,0.0026826858520507812,20059,1.0051613549809582
5030.jpg,image,39310,comb,0.003850698471069336,40113,1.0204273721699313
5031.jpg,image,44383,comb,0.004854440689086914,45242,1.0193542572606629
5032.jpg,image,26418,comb,0.002982616424560547,27166,1.0283140283140284
5033.jpg,image,15739,comb,0.002140522003173828,15500,0.9848147912828007
5034.jpg,image,24321,comb,0.0027785301208496094,25104,1.03219439990132
5035.jpg,image,25937,comb,0.0028798580169677734,26714,1.029957203994294
5036.jpg,image,40401,comb,0.003984212875366211,41248,1.0209648276032772
5037.jpg,image,26162,comb,0.0029764175415039062,26964,1.0306551486889381
5038.jpg,image,27818,comb,0.0030362606048583984,28613,1.028578618160903
5039.jpg,image,9158,comb,0.0017604827880859375,9502,1.0375627866346364
5040.jpg,image,20389,comb,0.002488374710083008,21024,1.0311442444455343
5041.jpg,image,18659,comb,0.002697467803955078,18917,1.0138271075620344
5042.jpg,image,46051,comb,0.004531145095825195,46916,1.0187835226162298
5043.jpg,image,40049,comb,0.003934621810913086,40898,1.0211990311867962
5044.jpg,image,20965,comb,0.002680063247680664,21404,1.0209396613403292
5045.jpg,image,28631,comb,0.003152608871459961,29372,1.0258810380356955
5046.jpg,image,46357,comb,0.004384517669677734,47219,1.0185948184740168
5047.jpg,image,16819,comb,0.002331972122192383,17570,1.0446518818003447
5048.jpg,image,44319,comb,0.0042531490325927734,45155,1.0188632414991312
5049.jpg,image,32365,comb,0.0033369064331054688,33179,1.0251506256758844
5050.jpg,image,16683,comb,0.00235748291015625,17403,1.0431577054486603
5051.jpg,image,18578,comb,0.002371549606323242,19351,1.0416083539670578
5052.jpg,image,12110,comb,0.0020744800567626953,12122,1.000990916597853
5053.jpg,image,33036,comb,0.0037183761596679688,33855,1.0247911369415184
5054.jpg,image,15215,comb,0.0022821426391601562,15980,1.0502793296089385
5055.jpg,image,28817,comb,0.003208160400390625,29640,1.0285595308324946
5056.jpg,image,32390,comb,0.0033559799194335938,33187,1.0246063599876505
5057.jpg,image,40048,comb,0.0038907527923583984,40844,1.019876148621654
5058.jpg,image,18914,comb,0.002424001693725586,19689,1.0409749391984773
5059.jpg,image,15450,comb,0.002296924591064453,16199,1.0484789644012944
5060.jpg,image,49196,comb,0.005043745040893555,50070,1.017765672005854
5061.jpg,image,19375,comb,0.0024352073669433594,20116,1.0382451612903225
5062.jpg,image,39767,comb,0.0038115978240966797,40621,1.0214750924133076
5063.jpg,image,28605,comb,0.003061056137084961,29395,1.027617549379479
5064.jpg,image,20883,comb,0.002666473388671875,21658,1.0371115261217259
5065.jpg,image,51488,comb,0.004779815673828125,52350,1.016741765071473
5066.jpg,image,23047,comb,0.0027751922607421875,23811,1.0331496507137587
5067.jpg,image,16836,comb,0.0023126602172851562,17586,1.0445473984319316
5068.jpg,image,22637,comb,0.0026705265045166016,23408,1.0340592834739586
5069.jpg,image,15393,comb,0.0024156570434570312,16121,1.0472942246475672
5070.jpg,image,15834,comb,0.0021715164184570312,16553,1.0454086143741317
5071.jpg,image,35286,comb,0.0035016536712646484,36125,1.0237771354078105
5072.jpg,image,17201,comb,0.002299785614013672,17843,1.037323411429568
5073.jpg,image,21753,comb,0.0025942325592041016,22502,1.0344320323633522
5074.jpg,image,11116,comb,0.00189971923828125,11716,1.053976250449802
5075.jpg,image,28574,comb,0.003006458282470703,29341,1.026842584167425
5076.jpg,image,14000,comb,0.002092599868774414,14670,1.0478571428571428
5077.jpg,image,22241,comb,0.002705812454223633,22936,1.031248594937278
5078.jpg,image,22251,comb,0.0025789737701416016,22895,1.0289425194373287
5079.jpg,image,11541,comb,0.0019130706787109375,12261,1.0623862750194957
5080.jpg,image,25835,comb,0.002980947494506836,26618,1.0303077220824464
5081.jpg,image,10150,comb,0.0018107891082763672,10607,1.045024630541872
5082.jpg,image,14373,comb,0.002054452896118164,14738,1.0253948375426147
5083.jpg,image,31704,comb,0.003297567367553711,32499,1.0250757002271007
5084.jpg,image,13976,comb,0.0020682811737060547,14676,1.0500858614768174
5085.jpg,image,27721,comb,0.0030367374420166016,28532,1.0292557988528552
5086.jpg,image,20654,comb,0.0025610923767089844,21436,1.0378619153674833
5087.jpg,image,24082,comb,0.0027704238891601562,24692,1.0253301220828834
5088.jpg,image,36081,comb,0.0035147666931152344,36911,1.0230037970122778
5089.jpg,image,4539,comb,0.0014495849609375,4981,1.097378277153558
5090.jpg,image,23611,comb,0.0027430057525634766,24396,1.033247215281013
5091.jpg,image,14562,comb,0.00209808349609375,15264,1.0482076637824476
5092.jpg,image,35075,comb,0.003853321075439453,35911,1.0238346400570206
5093.jpg,image,27317,comb,0.0030107498168945312,28104,1.0288098985979426
5094.jpg,image,13734,comb,0.002138853073120117,14306,1.0416484636668122
5095.jpg,image,26026,comb,0.0029366016387939453,26625,1.0230154460923693
5096.jpg,image,32435,comb,0.0033113956451416016,33239,1.0247880376136889
5097.jpg,image,12419,comb,0.002157449722290039,12438,1.0015299138416942
5098.jpg,image,57428,comb,0.005185365676879883,58318,1.0154976666434492
5099.jpg,image,24745,comb,0.0028629302978515625,25523,1.031440695089917
5100.jpg,image,20084,comb,0.002524137496948242,20767,1.0340071698864768
5101.jpg,image,40836,comb,0.004148244857788086,41670,1.0204231560387893
5102.jpg,image,33309,comb,0.0033142566680908203,34104,1.0238674232189497
5103.jpg,image,10486,comb,0.0017998218536376953,11202,1.0682815182147625
5104.jpg,image,18696,comb,0.00238037109375,19406,1.0379760376551135
5105.jpg,image,14197,comb,0.002112865447998047,14833,1.0447981968021414
5106.jpg,image,8861,comb,0.0017352104187011719,9541,1.0767407741789865
5107.jpg,image,14208,comb,0.0020897388458251953,14969,1.0535613738738738
5108.jpg,image,13118,comb,0.002087116241455078,13860,1.056563500533618
5109.jpg,image,15531,comb,0.002197742462158203,15983,1.029103084154272
5110.jpg,image,24349,comb,0.0027892589569091797,25137,1.0323627253685983
5111.jpg,image,14734,comb,0.002167940139770508,15255,1.035360390932537
5112.jpg,image,29487,comb,0.0031261444091796875,30293,1.0273340794248313
5113.jpg,image,26520,comb,0.002897977828979492,27268,1.028205128205128
5114.jpg,image,29942,comb,0.003201007843017578,30744,1.0267851178945961
5115.jpg,image,26307,comb,0.0029020309448242188,27126,1.0311323982210059
5116.jpg,image,11923,comb,0.0019063949584960938,12624,1.0587939277027594
5117.jpg,image,5601,comb,0.0014815330505371094,5093,0.9093019103731477
5118.jpg,image,25244,comb,0.0027985572814941406,25783,1.021351608302963
5119.jpg,image,24375,comb,0.002811431884765625,25077,1.0288
5120.jpg,image,44576,comb,0.0045850276947021484,45402,1.0185301507537687
5121.jpg,image,28966,comb,0.0031087398529052734,29763,1.0275150176068495
5122.jpg,image,8756,comb,0.0017039775848388672,9469,1.0814298766560073
5123.jpg,image,14875,comb,0.0021202564239501953,15645,1.051764705882353
5124.jpg,image,10096,comb,0.001861572265625,10736,1.063391442155309
5125.jpg,image,34658,comb,0.0035178661346435547,35074,1.0120030007501875
5126.jpg,image,8693,comb,0.0017066001892089844,9510,1.0939836650178305
5127.jpg,image,16802,comb,0.0022995471954345703,17331,1.0314843471015356
5128.jpg,image,27444,comb,0.002970457077026367,28077,1.0230651508526454
5129.jpg,image,20256,comb,0.0025000572204589844,20839,1.0287815955766193
5130.jpg,image,25744,comb,0.0028374195098876953,26521,1.0301817899316346
5131.jpg,image,20362,comb,0.0025599002838134766,21132,1.0378155387486494
5132.jpg,image,16015,comb,0.0021820068359375,16770,1.0471433031532937
5133.jpg,image,19469,comb,0.002492189407348633,20241,1.0396527813447018
5134.jpg,image,19928,comb,0.002420186996459961,20699,1.038689281413087
5135.jpg,image,13971,comb,0.0020859241485595703,14720,1.0536110514637462
5136.jpg,image,13874,comb,0.002064943313598633,14428,1.0399308058238432
5137.jpg,image,23120,comb,0.002713918685913086,23898,1.0336505190311418
5138.jpg,image,73171,comb,0.0069048404693603516,74121,1.0129832857279524
5139.jpg,image,53987,comb,0.005040645599365234,54848,1.0159482838461111
5140.jpg,image,43107,comb,0.0044209957122802734,43972,1.0200663465330457
5141.jpg,image,42636,comb,0.006656646728515625,43486,1.0199362041467304
5142.jpg,image,21116,comb,0.00621795654296875,21901,1.0371756014396667
5143.jpg,image,33225,comb,0.00819849967956543,34025,1.0240782543265614
5144.jpg,image,12443,comb,0.0038976669311523438,12700,1.0206541830748213
5145.jpg,image,29430,comb,0.006823062896728516,30229,1.02714916751614
5146.jpg,image,34079,comb,0.008176803588867188,34897,1.0240030517327385
5147.jpg,image,30234,comb,0.006323099136352539,30658,1.0140239465502414
5148.jpg,image,20129,comb,0.00392913818359375,20737,1.03020517661086
5149.jpg,image,14974,comb,0.002903461456298828,15729,1.0504207292640577
5150.jpg,image,17988,comb,0.0026311874389648438,18695,1.0393039804313986
5151.jpg,image,23532,comb,0.003010272979736328,24319,1.0334438211796702
5152.jpg,image,11483,comb,0.0020055770874023438,11940,1.0397979622049986
5153.jpg,image,15580,comb,0.002270221710205078,16317,1.0473042362002567
5154.jpg,image,24611,comb,0.0027604103088378906,25371,1.0308805005891675
5155.jpg,image,14252,comb,0.0021004676818847656,14775,1.0366966039854055
5156.jpg,image,26088,comb,0.002846956253051758,26683,1.022807421036492
5157.jpg,image,21784,comb,0.0027284622192382812,22304,1.0238707308116048
5158.jpg,image,17243,comb,0.002319812774658203,17838,1.0345067563649017
5159.jpg,image,11197,comb,0.0019392967224121094,11737,1.0482272037152809
5160.jpg,image,23065,comb,0.0026781558990478516,23511,1.0193366572729243
5161.jpg,image,35786,comb,0.003602266311645508,36612,1.0230816520426982
5162.jpg,image,20481,comb,0.002493619918823242,21261,1.0380840779258824
5163.jpg,image,22507,comb,0.0029239654541015625,23290,1.0347891767005821
5164.jpg,image,36567,comb,0.0035982131958007812,37401,1.0228074493395685
5165.jpg,image,23507,comb,0.0027523040771484375,24118,1.0259922576253881
5166.jpg,image,28718,comb,0.0031304359436035156,29540,1.028623163172923
5167.jpg,image,21316,comb,0.0025725364685058594,22101,1.0368267967723777
5168.jpg,image,35067,comb,0.0037207603454589844,35889,1.023440841817093
5169.jpg,image,13823,comb,0.002343416213989258,14489,1.0481805686175216
5170.jpg,image,22457,comb,0.002685546875,23184,1.0323729794718797
5171.jpg,image,18249,comb,0.002354860305786133,18764,1.028220724423256
5172.jpg,image,20486,comb,0.0025475025177001953,21261,1.037830713658108
5173.jpg,image,11551,comb,0.0019783973693847656,12287,1.063717427062592
5174.jpg,image,12508,comb,0.002008676528930664,13233,1.0579629037416054
5175.jpg,image,24985,comb,0.0028009414672851562,25766,1.0312587552531518
5176.jpg,image,19540,comb,0.002534151077270508,20306,1.0392016376663256
5177.jpg,image,36610,comb,0.0036270618438720703,37436,1.022562141491396
5178.jpg,image,17747,comb,0.0023450851440429688,17785,1.0021412069645574
5179.jpg,image,15591,comb,0.002186298370361328,16359,1.0492591879930728
5180.jpg,image,30041,comb,0.0031893253326416016,30846,1.0267967111614127
5181.jpg,image,13352,comb,0.002038717269897461,14076,1.0542240862792092
5182.jpg,image,29542,comb,0.0031092166900634766,30319,1.0263015367950714
5183.jpg,image,11312,comb,0.0019102096557617188,12017,1.0623231966053748
5184.jpg,image,10105,comb,0.0019440650939941406,10545,1.0435428005937655
5185.jpg,image,42259,comb,0.004059553146362305,43093,1.019735440971154
5186.jpg,image,36134,comb,0.0036149024963378906,36946,1.0224719101123596
