filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
001.txt,text,2560,comb,0.001973867416381836,2170,0.84765625
002.txt,text,2252,comb,0.0013911724090576172,1936,0.8596802841918295
003.txt,text,1552,comb,0.0007598400115966797,1530,0.9858247422680413
004.txt,text,2412,comb,0.0011470317840576172,2099,0.8702321724709784
005.txt,text,1570,comb,0.0006806850433349609,1555,0.9904458598726115
006.txt,text,1187,comb,0.0005285739898681641,1239,1.0438079191238416
007.txt,text,1669,comb,0.0007195472717285156,1587,0.950868783702816
008.txt,text,1922,comb,0.0007586479187011719,1700,0.8844953173777316
009.txt,text,1494,comb,0.000637054443359375,1392,0.9317269076305221
010.txt,text,1449,comb,0.0006144046783447266,1433,0.9889579020013802
011.txt,text,1144,comb,0.0004935264587402344,1211,1.0585664335664335
012.txt,text,1847,comb,0.0006537437438964844,1623,0.8787222523010287
013.txt,text,1830,comb,0.0006945133209228516,1628,0.8896174863387978
014.txt,text,2981,comb,0.001003265380859375,2320,0.7782623280778262
015.txt,text,3808,comb,0.0014677047729492188,2683,0.7045693277310925
016.txt,text,1393,comb,0.0006275177001953125,1394,1.0007178750897343
017.txt,text,1299,comb,0.0005953311920166016,1367,1.0523479599692072
018.txt,text,1002,comb,0.0004570484161376953,1138,1.1357285429141717
019.txt,text,1733,comb,0.0007038116455078125,1599,0.9226774379688402
020.txt,text,3854,comb,0.0012273788452148438,2784,0.7223663725998962
021.txt,text,2046,comb,0.0008409023284912109,1884,0.9208211143695014
022.txt,text,1933,comb,0.0007536411285400391,1773,0.91722710812209
023.txt,text,1267,comb,0.00054931640625,1332,1.0513022888713497
024.txt,text,1954,comb,0.0008146762847900391,1826,0.9344933469805528
025.txt,text,2704,comb,0.0009875297546386719,2230,0.8247041420118343
026.txt,text,1829,comb,0.0007536411285400391,1717,0.9387643521049754
027.txt,text,1620,comb,0.0006844997406005859,1558,0.9617283950617284
028.txt,text,1249,comb,0.0005414485931396484,1317,1.054443554843875
029.txt,text,2492,comb,0.000873565673828125,2030,0.8146067415730337
030.txt,text,2487,comb,0.0009403228759765625,2072,0.8331322878970647
031.txt,text,1888,comb,0.0008134841918945312,1712,0.9067796610169492
032.txt,text,1733,comb,0.0007948875427246094,1562,0.9013271783035199
033.txt,text,1348,comb,0.0005645751953125,1321,0.9799703264094956
034.txt,text,1780,comb,0.0007266998291015625,1679,0.9432584269662921
035.txt,text,1217,comb,0.0004961490631103516,1299,1.067378800328677
036.txt,text,2130,comb,0.0007784366607666016,1846,0.8666666666666667
037.txt,text,2462,comb,0.0009181499481201172,2071,0.8411860276198213
038.txt,text,930,comb,0.00044918060302734375,1062,1.1419354838709677
039.txt,text,1252,comb,0.0005769729614257812,1268,1.012779552715655
040.txt,text,1355,comb,0.0006029605865478516,1409,1.0398523985239851
041.txt,text,2016,comb,0.0007941722869873047,1753,0.8695436507936508
042.txt,text,1399,comb,0.0006186962127685547,1404,1.0035739814152966
043.txt,text,1202,comb,0.0005054473876953125,1217,1.0124792013311148
044.txt,text,2489,comb,0.0009443759918212891,2046,0.8220168742466855
045.txt,text,1802,comb,0.0007729530334472656,1670,0.9267480577136515
046.txt,text,1828,comb,0.0007023811340332031,1659,0.9075492341356673
047.txt,text,1566,comb,0.0006346702575683594,1449,0.9252873563218391
048.txt,text,1668,comb,0.0006930828094482422,1518,0.9100719424460432
049.txt,text,3551,comb,0.0011827945709228516,2663,0.7499295972965362
050.txt,text,1918,comb,0.0009613037109375,1776,0.9259645464025026
051.txt,text,1783,comb,0.0007250308990478516,1650,0.9254066180594503
052.txt,text,2991,comb,0.0011851787567138672,2426,0.8110999665663657
053.txt,text,1382,comb,0.0006053447723388672,1389,1.0050651230101302
054.txt,text,1438,comb,0.0006003379821777344,1367,0.9506258692628651
055.txt,text,2052,comb,0.0007524490356445312,1748,0.8518518518518519
056.txt,text,1477,comb,0.0006036758422851562,1426,0.965470548408937
057.txt,text,2628,comb,0.0010030269622802734,2157,0.8207762557077626
058.txt,text,1204,comb,0.0005166530609130859,1251,1.0390365448504983
059.txt,text,1869,comb,0.0013880729675292969,1710,0.9149277688603531
060.txt,text,915,comb,0.0006496906280517578,1029,1.1245901639344262
061.txt,text,1545,comb,0.0010058879852294922,1499,0.9702265372168285
062.txt,text,1899,comb,0.0011370182037353516,1739,0.9157451290152712
063.txt,text,1747,comb,0.0008544921875,1527,0.8740698340011448
064.txt,text,1768,comb,0.0006971359252929688,1552,0.8778280542986425
065.txt,text,2112,comb,0.0011649131774902344,1861,0.881155303030303
066.txt,text,2018,comb,0.0009682178497314453,1829,0.9063429137760158
067.txt,text,1874,comb,0.0007305145263671875,1624,0.8665955176093917
068.txt,text,2577,comb,0.0010211467742919922,2084,0.8086922778424525
069.txt,text,3157,comb,0.001293182373046875,2504,0.7931580614507444
070.txt,text,1174,comb,0.0005247592926025391,1240,1.0562180579216354
071.txt,text,1288,comb,0.0005626678466796875,1355,1.0520186335403727
072.txt,text,1617,comb,0.0007140636444091797,1545,0.9554730983302412
073.txt,text,1542,comb,0.0006718635559082031,1516,0.9831387808041504
074.txt,text,1533,comb,0.0006754398345947266,1512,0.9863013698630136
075.txt,text,1233,comb,0.0005271434783935547,1266,1.02676399026764
076.txt,text,1745,comb,0.0006363391876220703,1584,0.9077363896848137
077.txt,text,2671,comb,0.0010538101196289062,2214,0.8289030325720704
078.txt,text,1466,comb,0.0006320476531982422,1485,1.0129604365620737
