filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
5019.jpg,image,19189,huffman,0.0017676353454589844,19956,1.039970816613685
5020.jpg,image,20939,huffman,0.0014948844909667969,21697,1.0362003916137352
5021.jpg,image,44564,huffman,0.0018198490142822266,45309,1.0167175298447177
5022.jpg,image,25727,huffman,0.0018124580383300781,26473,1.0289967738173902
5023.jpg,image,34828,huffman,0.0017137527465820312,35581,1.021620535201562
5024.jpg,image,20566,huffman,0.0014984607696533203,21299,1.0356413498006418
5025.jpg,image,20058,huffman,0.0013854503631591797,20826,1.0382889620101705
5026.jpg,image,36346,huffman,0.0016446113586425781,37095,1.020607494634898
5027.jpg,image,29398,huffman,0.0016026496887207031,30131,1.0249336689570718
5028.jpg,image,21633,huffman,0.001399993896484375,22296,1.030647621689086
5029.jpg,image,19956,huffman,0.0014269351959228516,20653,1.034926839045901
5030.jpg,image,39310,huffman,0.00167083740234375,40036,1.018468583057746
5031.jpg,image,44383,huffman,0.0017676353454589844,45135,1.0169434242840727
5032.jpg,image,26418,huffman,0.0017964839935302734,27163,1.02820046937694
5033.jpg,image,15739,huffman,0.0014190673828125,16295,1.0353262596098862
5034.jpg,image,24321,huffman,0.0014934539794921875,25083,1.0313309485629703
5035.jpg,image,25937,huffman,0.001848459243774414,26681,1.0286848903111385
5036.jpg,image,40401,huffman,0.0019173622131347656,41154,1.0186381525209771
5037.jpg,image,26162,huffman,0.0016121864318847656,26927,1.029240883724486
5038.jpg,image,27818,huffman,0.0016829967498779297,28574,1.027176648213387
5039.jpg,image,9158,huffman,0.001720428466796875,9796,1.0696658659095872
5040.jpg,image,20389,huffman,0.001421213150024414,21153,1.037471185443131
5041.jpg,image,18659,huffman,0.0019233226776123047,19400,1.0397127391607268
5042.jpg,image,46051,huffman,0.002381563186645508,46810,1.0164817267811774
5043.jpg,image,40049,huffman,0.002775907516479492,40808,1.018951784064521
5044.jpg,image,20965,huffman,0.0018815994262695312,21586,1.0296207965657047
5045.jpg,image,28631,huffman,0.002225637435913086,29386,1.0263700185114037
5046.jpg,image,46357,huffman,0.004547834396362305,47113,1.016308216666307
5047.jpg,image,16819,huffman,0.0020720958709716797,17570,1.0446518818003447
5048.jpg,image,44319,huffman,0.002321958541870117,45061,1.016742255014779
5049.jpg,image,32365,huffman,0.0042421817779541016,33117,1.0232349760543797
5050.jpg,image,16683,huffman,0.003623485565185547,17418,1.0440568243121742
5051.jpg,image,18578,huffman,0.003529071807861328,19341,1.0410700828937454
5052.jpg,image,12110,huffman,0.003185272216796875,12714,1.0498761354252684
5053.jpg,image,33036,huffman,0.0033936500549316406,33795,1.022974936432982
