filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
001.txt,text,2560,huffman,0.0001761913299560547,1727,0.674609375
002.txt,text,2252,huffman,0.00011944770812988281,1472,0.6536412078152753
003.txt,text,1552,huffman,0.00014495849609375,1089,0.7016752577319587
004.txt,text,2412,huffman,0.00014090538024902344,1665,0.6902985074626866
005.txt,text,1570,huffman,0.0001285076141357422,1155,0.7356687898089171
006.txt,text,1187,huffman,7.748603820800781e-05,836,0.7042965459140691
007.txt,text,1669,huffman,0.00011014938354492188,1186,0.7106051527860995
008.txt,text,1922,huffman,0.00014543533325195312,1281,0.6664932362122789
009.txt,text,1494,huffman,0.0001087188720703125,1064,0.7121820615796519
010.txt,text,1449,huffman,0.00011229515075683594,1032,0.7122153209109731
011.txt,text,1144,huffman,8.153915405273438e-05,837,0.7316433566433567
012.txt,text,1847,huffman,0.00012040138244628906,1276,0.6908500270709258
013.txt,text,1830,huffman,0.00013184547424316406,1261,0.6890710382513662
014.txt,text,2981,huffman,0.0001952648162841797,1904,0.6387118416638712
015.txt,text,3808,huffman,0.00015997886657714844,2350,0.6171218487394958
016.txt,text,1393,huffman,0.00012350082397460938,940,0.674802584350323
017.txt,text,1299,huffman,0.00011992454528808594,944,0.7267128560431101
018.txt,text,1002,huffman,0.00010967254638671875,759,0.7574850299401198
019.txt,text,1733,huffman,0.00012493133544921875,1208,0.6970571263704558
020.txt,text,3854,huffman,0.00018453598022460938,2362,0.6128697457187338
021.txt,text,2046,huffman,0.00014400482177734375,1382,0.6754643206256109
022.txt,text,1933,huffman,9.489059448242188e-05,1276,0.6601138127263321
023.txt,text,1267,huffman,9.489059448242188e-05,942,0.7434885556432518
024.txt,text,1954,huffman,0.0001087188720703125,1351,0.6914022517911975
025.txt,text,2704,huffman,0.00012445449829101562,1767,0.6534763313609467
026.txt,text,1829,huffman,0.0001270771026611328,1297,0.7091306724986332
027.txt,text,1620,huffman,0.0001087188720703125,1173,0.7240740740740741
028.txt,text,1249,huffman,9.965896606445312e-05,953,0.7630104083266613
029.txt,text,2492,huffman,0.00011610984802246094,1617,0.648876404494382
030.txt,text,2487,huffman,0.00014328956604003906,1681,0.6759147567350221
