filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
5019.jpg,image,19189,lzo,0.004185676574707031,19208,1.0009901506071186
5020.jpg,image,20939,lzo,0.0037534236907958984,20964,1.001193944314437
5021.jpg,image,44564,lzo,0.007865428924560547,44639,1.0016829728031595
5022.jpg,image,25727,lzo,0.0031614303588867188,25780,1.0020600925098146
5023.jpg,image,34828,lzo,0.005191326141357422,34911,1.0023831400022971
5024.jpg,image,20566,lzo,0.002989053726196289,20589,1.0011183506758727
5025.jpg,image,20058,lzo,0.0027434825897216797,20144,1.0042875660584305
5026.jpg,image,36346,lzo,0.004673004150390625,34109,0.9384526495350245
5027.jpg,image,29398,lzo,0.0038721561431884766,29374,0.9991836179331928
5028.jpg,image,21633,lzo,0.0027909278869628906,20964,0.9690750242684787
5029.jpg,image,19956,lzo,0.0027518272399902344,19309,0.9675786730807777
5030.jpg,image,39310,lzo,0.005199432373046875,39418,1.002747392520987
5031.jpg,image,44383,lzo,0.004881858825683594,44515,1.0029741117094384
5032.jpg,image,26418,lzo,0.0022351741790771484,26439,1.0007949125596185
5033.jpg,image,15739,lzo,0.0012502670288085938,14756,0.9375436813012262
5034.jpg,image,24321,lzo,0.002057313919067383,24358,1.0015213190247112
5035.jpg,image,25937,lzo,0.0016050338745117188,25987,1.0019277480047808
5036.jpg,image,40401,lzo,0.002567768096923828,40519,1.0029207197841639
5037.jpg,image,26162,lzo,0.0016813278198242188,26218,1.0021405091353872
5038.jpg,image,27818,lzo,0.0015041828155517578,27876,1.0020849809475878
5039.jpg,image,9158,lzo,0.0004668235778808594,8762,0.9567591177112906
5040.jpg,image,20389,lzo,0.0011188983917236328,20276,0.9944577958703222
5041.jpg,image,18659,lzo,0.0009713172912597656,18155,0.9729889061578862
5042.jpg,image,46051,lzo,0.002535104751586914,46187,1.0029532474864824
5043.jpg,image,40049,lzo,0.002200603485107422,40163,1.0028465130215487
5044.jpg,image,20965,lzo,0.0011332035064697266,20731,0.988838540424517
5045.jpg,image,28631,lzo,0.0015485286712646484,28636,1.0001746358841814
5046.jpg,image,46357,lzo,0.002687215805053711,46485,1.0027611795413853
5047.jpg,image,16819,lzo,0.0009000301361083984,16828,1.0005351091028003
5048.jpg,image,44319,lzo,0.0024099349975585938,44440,1.0027302060064531
5049.jpg,image,32365,lzo,0.0017511844635009766,32446,1.0025027035377723
5050.jpg,image,16683,lzo,0.0009055137634277344,16672,0.9993406461667566
5051.jpg,image,18578,lzo,0.0009918212890625,18596,1.0009688879319625
5052.jpg,image,12110,lzo,0.0006194114685058594,11396,0.9410404624277456
5053.jpg,image,33036,lzo,0.00176239013671875,33117,1.0024518706865237
5054.jpg,image,15215,lzo,0.0008280277252197266,15215,1.0
5055.jpg,image,28817,lzo,0.0015423297882080078,28882,1.0022556130062117
5056.jpg,image,32390,lzo,0.0018656253814697266,32452,1.0019141710404447
5057.jpg,image,40048,lzo,0.002348184585571289,40114,1.0016480223731523
5058.jpg,image,18914,lzo,0.0010383129119873047,18932,1.0009516760071904
5059.jpg,image,15450,lzo,0.0008237361907958984,15451,1.000064724919094
5060.jpg,image,49196,lzo,0.0027434825897216797,49337,1.0028660866737134
5061.jpg,image,19375,lzo,0.000993490219116211,19394,1.0009806451612904
5062.jpg,image,39767,lzo,0.0021376609802246094,39873,1.0026655266929867
5063.jpg,image,28605,lzo,0.001567840576171875,28661,1.0019576997028492
5064.jpg,image,20883,lzo,0.0012221336364746094,20909,1.0012450318440838
5065.jpg,image,51488,lzo,0.0034694671630859375,51642,1.0029909881914232
5066.jpg,image,23047,lzo,0.0013689994812011719,23077,1.0013016878552523
5067.jpg,image,16836,lzo,0.0009000301361083984,16837,1.0000593965312425
5068.jpg,image,22637,lzo,0.0012938976287841797,22660,1.0010160356937756
5069.jpg,image,15393,lzo,0.0008382797241210938,15385,0.9994802832456311
5070.jpg,image,15834,lzo,0.0008575916290283203,15825,0.9994316028798788
5071.jpg,image,35286,lzo,0.0018761157989501953,35372,1.0024372272289293
5072.jpg,image,17201,lzo,0.0009191036224365234,17103,0.9943026568222778
5073.jpg,image,21753,lzo,0.0011703968048095703,21785,1.0014710614627866
5074.jpg,image,11116,lzo,0.0005614757537841797,10957,0.9856962936308025
5075.jpg,image,28574,lzo,0.0017571449279785156,28615,1.0014348708616225
5076.jpg,image,14000,lzo,0.0007834434509277344,13977,0.9983571428571428
5077.jpg,image,22241,lzo,0.0012133121490478516,22269,1.001258936198912
5078.jpg,image,22251,lzo,0.0011844635009765625,22153,0.9955957035638847
5079.jpg,image,11541,lzo,0.0006096363067626953,11497,0.9961875054154753
5080.jpg,image,25835,lzo,0.0013551712036132812,25884,1.0018966518289143
5081.jpg,image,10150,lzo,0.0005145072937011719,9836,0.969064039408867
5082.jpg,image,14373,lzo,0.0007660388946533203,13984,0.9729353649203367
