filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
001.txt,text,2560,lzo,0.0012242794036865234,1571,0.613671875
002.txt,text,2252,lzo,0.00096893310546875,1397,0.6203374777975134
003.txt,text,1552,lzo,0.00014448165893554688,1036,0.6675257731958762
004.txt,text,2412,lzo,0.000209808349609375,1543,0.6397180762852405
005.txt,text,1570,lzo,0.00014472007751464844,1099,0.7
006.txt,text,1187,lzo,0.00013589859008789062,827,0.6967144060657119
007.txt,text,1669,lzo,0.00011014938354492188,1100,0.6590772917914919
008.txt,text,1922,lzo,0.00015211105346679688,1179,0.613423517169615
009.txt,text,1494,lzo,9.012222290039062e-05,964,0.6452476572958501
010.txt,text,1449,lzo,0.0001277923583984375,975,0.6728778467908902
011.txt,text,1144,lzo,0.00012993812561035156,809,0.7071678321678322
012.txt,text,1847,lzo,0.0002346038818359375,1191,0.6448294531672983
013.txt,text,1830,lzo,0.00034356117248535156,1168,0.6382513661202186
014.txt,text,2981,lzo,0.000377655029296875,1757,0.58939953035894
015.txt,text,3808,lzo,0.0005769729614257812,2052,0.5388655462184874
016.txt,text,1393,lzo,0.00017952919006347656,966,0.6934673366834171
017.txt,text,1299,lzo,0.000171661376953125,934,0.7190146266358738
018.txt,text,1002,lzo,0.00013184547424316406,745,0.7435129740518962
019.txt,text,1733,lzo,0.00023031234741210938,1116,0.6439699942296595
020.txt,text,3854,lzo,0.0007314682006835938,2168,0.5625324338349766
021.txt,text,2046,lzo,0.00020051002502441406,1333,0.6515151515151515
022.txt,text,1933,lzo,0.0002143383026123047,1264,0.6539058458354888
023.txt,text,1267,lzo,0.00013875961303710938,912,0.7198105761641673
024.txt,text,1954,lzo,0.00019812583923339844,1292,0.661207778915046
025.txt,text,2704,lzo,0.0003895759582519531,1668,0.6168639053254438
026.txt,text,1829,lzo,0.0002243518829345703,1240,0.6779661016949152
027.txt,text,1620,lzo,0.0001423358917236328,1067,0.658641975308642
028.txt,text,1249,lzo,0.00011658668518066406,893,0.7149719775820657
029.txt,text,2492,lzo,0.00025963783264160156,1472,0.5906902086677368
030.txt,text,2487,lzo,0.0005195140838623047,1510,0.607157217531162
031.txt,text,1888,lzo,0.0003123283386230469,1185,0.6276483050847458
032.txt,text,1733,lzo,0.00027179718017578125,1085,0.6260819388343912
033.txt,text,1348,lzo,0.0001537799835205078,892,0.6617210682492581
034.txt,text,1780,lzo,0.00023484230041503906,1174,0.6595505617977528
035.txt,text,1217,lzo,0.000370025634765625,912,0.7493837304847987
036.txt,text,2130,lzo,0.00018596649169921875,1347,0.6323943661971831
037.txt,text,2462,lzo,0.00025391578674316406,1550,0.6295694557270511
038.txt,text,930,lzo,0.00010943412780761719,716,0.7698924731182796
